ScanId,SiteUrl,LastItemUserModifiedDate,RootWebTemplate,SubWebTemplates,SubWebCount,SubWebDepth,ClassicLists,ModernLists,ClassicPages,ClassicWikiPages,ClassicASPXPages,ClassicBlogPages,ClassicWebPartPages,ClassicPublishingPages,ModernPages,ClassicWorkflows,ClassicInfoPathForms,ClassicExtensibilities,SharePointAddIns,AzureACSPrincipals,AggregatedRemediationCodes
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130039,05/31/2019 07:44:53,STS#0,BLOG#0,1,1,8,9,12,11,0,1,0,0,0,0,0,1,0,0,"CE9,CL4,CP2,CS1,CP4"
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130041,04/26/2017 11:07:18,STS#0,BLOG#0,1,1,8,8,12,11,0,1,0,0,0,0,0,0,0,0,"CL4,CP2,CS1,CP4"
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130042,04/26/2017 11:07:21,STS#0,BLOG#0,1,1,8,8,12,11,0,1,0,0,0,0,0,1,0,0,"CE9,CL4,CP2,CS1,CP4"
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130043,04/26/2017 11:07:25,STS#0,BLOG#0,1,1,8,8,12,11,0,1,0,0,0,0,0,1,0,0,"CE9,CL4,CP2,CS1,CP4"
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130044,04/26/2017 11:07:29,STS#0,BLOG#0,1,1,8,8,12,11,0,1,0,0,0,0,0,1,0,0,"CE9,CL4,CP2,CS1,CP4"
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130045,04/26/2017 11:07:33,STS#0,BLOG#0,1,1,8,8,12,11,0,1,0,0,0,0,0,0,0,0,"CL4,CP2,CS1,CP4"
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130046,04/26/2017 11:07:41,STS#0,BLOG#0,1,1,8,8,14,13,0,1,0,0,0,0,0,1,0,0,"CE9,CL4,CP2,CS1,CP4"
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130047,04/26/2017 11:07:44,STS#0,BLOG#0,1,1,8,8,12,11,0,1,0,0,0,0,0,1,0,0,"CE9,CL4,CP2,CS1,CP4"
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130048,04/26/2017 11:07:48,STS#0,BLOG#0,1,1,8,8,13,12,0,1,0,0,0,0,0,1,0,0,"CE9,CL4,CP2,CS1,CP4"
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/130049,04/26/2017 11:07:51,STS#0,BLOG#0,1,1,8,10,13,11,0,2,0,0,0,0,0,1,0,0,"CE9,CL4,CP2,CS1,CP4"
